Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm),H Depth(cm),Boundary (Bnd),Matrix Color,Clay,Sand,Silt,"Lab Texture (LPSA, preliminary)",Field Texture,Field Clay %,Structure,Consistence,Notes,Date Sampled,Depth to water table (if known),Taxonomy,Charcoal Present?,Depletions,Concentrations,htm,intermingle body
29,240311,Ap1,Auger,Greenville,0-20,20,,5YR 4/4,5.5,86.2,8.3,LS,,,1MGr,,,5/2/2024,,Typic Kanhapludult?,,,,,
29,240312,Ap2,Auger,Greenville,20-34,14,,5YR 4/4,15.7,74.2,10.1,SL,,,1FSBK,,,5/2/2024,,,,,,,
29,240313,Bt1,Auger,Greenville,34-69,35,,5YR4/6,23.75,65.3,10.95,SCL,,,1MSBK,,Charcoal,5/2/2024,,,Yes,,,,
29,240314,Bt2,Auger,Greenville,69-127,58,,2.5YR3/6,66.7,28.7,4.6,C,SCL,,2MSBK,,Charcoal,5/2/2024,,,Yes,,,,
29,240315,Bt3,Auger,Greenville,127-166+,39,,2.5YR3/6,53.3,41.1,5.6,C,SL,,1MSBK,,Charcoal,5/2/2024,,,Yes,,,,
30,240316,Ap1,Auger,Greenville,0-11,11,,7.5YR3/4,5.37,86.5,8.13,LS,,,1MGr,,,5/2/2024,,,,,,,
30,240317,Ap2,Auger,Greenville,11-21,10,,7.5YR4/3,7.77,83.25,8.98,LS,,,1MGr,,,5/2/2024,,,,,,,
30,240318,Bt1,Auger,Greenville,21-48,27,,5YR3/4,38.8,51.25,9.95,SC,,,2MSBK,,,5/2/2024,,,,,,,
30,240319,Bt2,Auger,Greenville,48-72,24,,2.5YR4/8,40.45,50.2,9.35,SC,,,2MSBK,,,5/2/2024,,,,,,,
30,240320,Bt3,Auger,Greenville,72-110,38,,2.5YR3/6,66.5,28.95,4.55,C,SCL,24%,2MSBK,,,5/2/2024,,,,,,,
30,240321,Bt4,Auger,Greenville,110-167+,57,,2.5YR3/6,69.15,27.05,3.8,C,SL,18%,2MSBK,,,5/2/2024,,,,,,,
31,250402,Ap1,Probe,,0-18,18,,10YR4/4,,Not Found,,,,,1MGr,,,4/16/2025,,,,,,,
31,250403,Ap2,Probe,,18-32,14,,7.5YR4/4,,Not Found,,,,,1MGr,,VF root,4/16/2025,,,,,,,
31,250404,Bt1,Probe,,32-76,44,,2.5YR4/8,,Not Found,,,,,2CoSBK,,VF root,4/16/2025,,,,,,,
31,250405,Bt2,Probe,,76-118,42,,2.5YR4/6,,Not Found,,,,,2CoSBK,,VF root,4/16/2025,,,,,,,
